Country_Name,Country_Code,2008,2009,2010,2011
Aruba,ABW,74.72,74.87,75.02,75.16
Afghanistan,AFG,59.93,60.48,61.03,61.55
Angola,AGO,53.24,54.31,55.35,56.33
Albania,ALB,75.91,76.22,76.56,76.91
Arab World,ARB,69.94,70.16,70.35,70.53
United Arab Emirates,ARE,75.96,76.14,76.33,76.52
Argentina,ARG,74.95,75.12,75.28,75.44
Armenia,ARM,72.95,73.12,73.33,73.57
Antigua and Barbuda,ATG,75.54,75.68,75.82,75.96
Australia,AUS,81.4,81.54,81.7,81.9
Austria,AUT,80.43,80.33,80.58,80.98
Azerbaijan,AZE,70.2,70.6,70.94,71.23
Burundi,BDI,55.72,56.49,57.23,57.92
Belgium,BEL,79.68,80.03,80.18,80.59
Benin,BEN,58.65,59.01,59.32,59.59
Burkina Faso,BFA,55.62,56.38,57.1,57.76
Bangladesh,BGD,69.07,69.48,69.88,70.26
Bulgaria,BGR,72.96,73.41,73.51,74.16
Bahrain,BHR,75.77,75.91,76.06,76.2
"Bahamas, The",BHS,72.02,72.07,72.14,72.26
Bosnia and Herzegovina,BIH,75.67,75.84,76.03,76.22
Belarus,BLR,70.46,70.41,70.4,70.55
Belize,BLZ,71.06,71.54,72.06,72.57
Bermuda,BMU,79.24,79.39,79.29,81.15
Bolivia,BOL,66.94,67.48,68.01,68.52
Brazil,BRA,72.97,73.3,73.62,73.92
Barbados,BRB,78.18,78.27,78.36,78.46
Brunei Darussalam,BRN,74.49,74.62,74.74,74.85
Bhutan,BTN,67.32,67.88,68.38,68.84
Botswana,BWA,56.68,58.45,60.21,61.91
Central African Republic,CAF,46.16,46.72,47.31,47.95
Canada,CAN,80.7,81.0,81.25,81.45
Central Europe and the Baltics,CEB,74.58,74.93,75.29,75.89
Switzerland,CHE,81.99,82.04,82.25,82.7
Channel Islands,CHI,81.04,81.27,81.48,81.69
Chile,CHL,78.33,78.56,78.78,78.99
China,CHN,73.83,74.12,74.41,74.71
Cote d'Ivoire,CIV,51.68,52.31,52.96,53.62
Cameroon,CMR,54.15,54.63,55.1,55.58
"Congo, Dem. Rep.",COD,55.74,56.35,56.91,57.43
"Congo, Rep.",COG,58.47,59.32,60.09,60.78
Colombia,COL,74.96,75.19,75.42,75.66
