Country Name,Country Code,2012
Aruba,ABW,75.299
Afghanistan,AFG,62.054
Angola,AGO,57.236
Albania,ALB,77.252
Andorra,AND,
Arab World,ARB,70.7038266
United Arab Emirates,ARE,76.711
Argentina,ARG,75.598
Armenia,ARM,73.82
American Samoa,ASM,
Antigua and Barbuda,ATG,76.087
Australia,AUS,82.04634146
Austria,AUT,80.93658537
Azerbaijan,AZE,71.506
Burundi,BDI,58.568
Belgium,BEL,80.38536585
Benin,BEN,59.842
Burkina Faso,BFA,58.374
Bangladesh,BGD,70.606
Bulgaria,BGR,74.31463415
Bahrain,BHR,76.342
"Bahamas, The",BHS,72.424
Bosnia and Herzegovina,BIH,76.401
Belarus,BLR,71.96585366
Belize,BLZ,73.044
Bermuda,BMU,81.67780488
Bolivia,BOL,69.01
Brazil,BRA,74.209
Barbados,BRB,78.547
Brunei Darussalam,BRN,74.962
Bhutan,BTN,69.263
Botswana,BWA,63.511
Central African Republic,CAF,48.638
Canada,CAN,81.64878049
Central Europe and the Baltics,CEB,75.9934886
Switzerland,CHE,82.69756098
Channel Islands,CHI,81.883
Chile,CHL,79.176
China,CHN,75.013
Cote d'Ivoire,CIV,54.271
Cameroon,CMR,56.073
"Congo, Dem. Rep.",COD,57.914
"Congo, Rep.",COG,61.423
Colombia,COL,75.882
Comoros,COM,62.595
Cabo Verde,CPV,71.445
Costa Rica,CRI,79.074
Caribbean small states,CSS,72.91180346
Cuba,CUB,78.446
Curacao,CUW,77.52439024
Cayman Islands,CYM,
Cyprus,CYP,79.812
Czech Republic,CZE,78.07560976
Germany,DEU,80.53902439
Djibouti,DJI,61.395
Dominica,DMA,
Denmark,DNK,80.05121951
Dominican Republic,DOM,72.523
Algeria,DZA,75.436
East Asia & Pacific (excluding high income),EAP,73.64529744
Early-demographic dividend,EAR,68.80321101
East Asia & Pacific,EAS,74.56212675
Europe & Central Asia (excluding high income),ECA,71.59716759
Europe & Central Asia,ECS,76.62455211
Ecuador,ECU,75.495
"Egypt, Arab Rep.",EGY,70.736
Euro area,EMU,81.22715817
Eritrea,ERI,63.238
Spain,ESP,82.42682927
Estonia,EST,76.32682927
Ethiopia,ETH,63.281
European Union,EUU,80.15688815
Fragile and conflict affected situations,FCS,59.40927758
Finland,FIN,80.62682927
Fiji,FJI,66.859
France,FRA,81.96829268
Faroe Islands,FRO,81.0902439
"Micronesia, Fed. Sts.",FSM,66.817
Gabon,GAB,62.924
United Kingdom,GBR,80.90487805
Georgia,GEO,72.097
Ghana,GHA,61.72
Gibraltar,GIB,
Guinea,GIN,57.905
"Gambia, The",GMB,60.178
Guinea-Bissau,GNB,55.645
Equatorial Guinea,GNQ,56.288
Greece,GRC,80.63414634
Grenada,GRD,72.669
Greenland,GRL,71.29902439
Guatemala,GTM,72.236
Guam,GUM,78.408
Guyana,GUY,68.575
High income,HIC,80.07343349
"Hong Kong SAR, China",HKG,83.4804878
Honduras,HND,73.814
Heavily indebted poor countries (HIPC),HPC,60.16656463
Croatia,HRV,76.92439024
Haiti,HTI,61.26
Hungary,HUN,75.06341463
IBRD only,IBD,71.8275975
IDA & IBRD total,IBT,69.4581623
IDA total,IDA,61.96761613
IDA blend,IDB,60.09327035
Indonesia,IDN,69.866
IDA only,IDX,62.91116673
Isle of Man,IMN,
India,IND,67.545
Not classified,INX,
Ireland,IRL,80.84634146
"Iran, Islamic Rep.",IRN,74.776
Iraq,IRQ,69.148
Iceland,ISL,82.91707317
Israel,ISR,81.70487805
Italy,ITA,82.23902439
Jamaica,JAM,74.001
Jordan,JOR,73.722
Japan,JPN,83.09609756
Kazakhstan,KAZ,69.61
Kenya,KEN,62.659
Kyrgyz Republic,KGZ,70.00243902
Cambodia,KHM,67.48
Kiribati,KIR,66.381
St. Kitts and Nevis,KNA,
"Korea, Rep.",KOR,80.8195122
Kuwait,KWT,74.728
Latin America & Caribbean (excluding high income),LAC,74.25919605
Lao PDR,LAO,65.267
Lebanon,LBN,78.611
Liberia,LBR,60.663
